taxon,dap,cat,svl,ed,individuals,source
Aeluroscalabotes_felinus,nocturnal,ORIG,98.38,5.44,1,this study
Agamura_persica,nocturnal,ORIG,64.11,5.52,1,this study
Aristelliger_georgeensis,nocturnal,ORIG,99.22,5.57,1,this study
Aristelliger_praesignis,nocturnal,ORIG,66.075,4.08,2,this study
Bunopus_crassicauda,nocturnal,ORIG,44.99,3.345,2,this study
Carphodactylus_laevis,nocturnal,ORIG,102.26,7.21,1,this study
Chondrodactylus_angulifer,nocturnal,ORIG,106.33333,7.52,1,this study
Chondrodactylus_bibronii,nocturnal,ORIG,78.69,5.45,1,this study
Chondrodactylus_turneri,nocturnal,ORIG,72.8,4.3,,Werner and Seifan
Cnemaspis_africana,diurnal,D5,44,2.3,,Werner and Seifan
Coleonyx_variegatus,nocturnal,ORIG,65.95,4.06,1,this study
Colopus_wahlbergii,nocturnal,ORIG,49.37667,3.316667,1,this study
Cyrtodactylus_pulchellus,nocturnal,ORIG,84.8,5.4,,Werner and Seifan
Diplodactylus_pulcher,nocturnal,ORIG,50,2.9,,Werner and Seifan
Dixonius_siamensis,nocturnal,ORIG,45.18,3.25,1,this study
Euleptes_europaea,nocturnal,ORIG,39.52,1.87,1,this study
Eurydactylodes_symmetricus,diurnal,D1,49.61,2.48,1,this study
Gehyra_oceanica,nocturnal,ORIG,80.5,4.9,,Werner and Seifan
Gehyra_variegata,cathemeral,C3,48.2,3.1,1,this study
Gekko_gecko,nocturnal,ORIG,148,8.3,,Werner and Seifan
Gekko_japonicus,nocturnal,ORIG,53.91667,3.213333,3,this study
Gekko_vittatus,nocturnal,ORIG,102.2,5.9,,Werner and Seifan
Gonatodes_albogularis,diurnal,D4,39.5875,1.858333,12,this study
Gonatodes_annularis,diurnal,D4,44.62,2.41,1,this study
Gonatodes_antillensis,diurnal,D4,31.3,1.643333,6,this study
Gonatodes_caudiscutatus,diurnal,D4,37.84167,1.72,6,this study
Gonatodes_concinnatus,diurnal,D4,42.708,2.042,5,this study
Gonatodes_humeralis,diurnal,D4,33.86143,2.010714,7,this study
Gonatodes_vittatus,diurnal,D4,31.9,1.7,,Werner and Seifan
Goniurosaurus_catbaensis,nocturnal,ORIG,87,5.13,1,this study
Haemodracon_riebeckii,nocturnal,ORIG,101,6.11,1,this study
Hemidactylus_brookii,nocturnal,ORIG,60.92667,3.533333,3,this study
Hemidactylus_flaviviridis,nocturnal,ORIG,68.3,4,,Werner and Seifan
Hemidactylus_frenatus,nocturnal,ORIG,51.765,3.045,2,this study
Hemidactylus_leschenaultii,nocturnal,ORIG,67.71667,3.88,3,this study
Hemidactylus_longicephalus,nocturnal,ORIG,44.09,3.45,2,this study
Hemidactylus_mabouia,nocturnal,ORIG,71.03,4.17,3,this study
Hemidactylus_turcicus,nocturnal,ORIG,47.17667,2.273333,3,this study
Hemiphyllodactylus_typus,nocturnal,ORIG,38.72,1.95,1,this study
Hemitheconyx_caudicinctus,nocturnal,ORIG,99.66667,6.473333,1,this study
Heteronotia_binoei,nocturnal,ORIG,43.5,2.8,,Werner and Seifan
Homopholis_walbergii,nocturnal,ORIG,97.5,4.9,,Werner and Seifan
Hoplodactylus_duvaucelii,nocturnal,ORIG,123.4,6.4,,Werner and Seifan
Lepidoblepharis_sp,diurnal,D4,42.71667,1.35,1,this study
Lepidodactylus_lugubris,nocturnal,ORIG,45.62333,3.086667,1,this study
Lygodactylus_capensis,diurnal,D7,29,1.7,,Werner and Seifan
Lygodactylus_chobiensis,diurnal,D7,38.535,2.145,2,this study
Lygodactylus_conraui,diurnal,D7,27.5,1.6,,Werner and Seifan
Lygodactylus_gravis,diurnal,D7,31.41,1.745,2,this study
Lygodactylus_gutturalis,diurnal,D7,33.4,1.8,,Werner and Seifan
Lygodactylus_picturatus,diurnal,D7,33.4,1.8,,Werner and Seifan
Lygodactylus_pictus,diurnal,D7,33.925,1.59,2,this study
Narudasia_festiva,diurnal,D6,27.55,1.57,2,this study
Naultinus_elegans,diurnal,D2,69.4,2.6,,Werner and Seifan
Naultinus_gemmeus,diurnal,D2,67.8,2.9,,Werner and Seifan
Naultinus_manukanus,diurnal,D2,67.7,2.8,,Werner and Seifan
Naultinus_stellatus,diurnal,D2,65,2.6,,Werner and Seifan
Nephrurus_levis,nocturnal,ORIG,62.06333,5.346667,1,this study
Oedura_marmorata,nocturnal,ORIG,93.3,5.2,,Werner and Seifan
Pachydactylus_bicolor,nocturnal,ORIG,40,2.7,,Werner and Seifan
Pachydactylus_capensis,nocturnal,ORIG,53.38333,3.463333,1,this study
Pachydactylus_maculatus,nocturnal,ORIG,42,2.7,,Werner and Seifan
Pachydactylus_namaquensis,cathemeral,C4,68,4.4,,Werner and Seifan
Pachydactylus_vanzyli,nocturnal,ORIG,55,4.99,1,this study
Phelsuma_astriata,diurnal,D7,50.39,2.49,2,this study
Phelsuma_guttata,diurnal,D7,50.165,2.75,2,this study
Phelsuma_klemmeri,diurnal,D7,44.09,2.04,1,this study
Phelsuma_laticauda,diurnal,D7,50.06667,2.296667,3,this study
Phelsuma_parkeri,diurnal,D7,69,3.9,,Werner and Seifan
Phelsuma_standingi,diurnal,D7,76.7,3.71,1,this study
Phyllodactylus_homolepidurus,nocturnal,ORIG,56.37667,2.933333,3,this study
Phyllodactylus_tuberculosus,nocturnal,ORIG,76,4.7,,Werner and Seifan
Phyllopezus_maranjonensis,nocturnal,ORIG,84.015,5.355,2,this study
Pristurus_carteri,diurnal,D3,44.65,3.07,1,this study
Pseudogekko_smaragdinus,nocturnal,ORIG,52.015,3.09,2,this study
Pseudogonatodes_sp,diurnal,D4,21.92,1.14,1,this study
Pseudothecadactylus_lindneri,nocturnal,ORIG,100,6.15,1,this study
Ptychozoon_kuhli,nocturnal,ORIG,91.5,5.4,,Werner and Seifan
Ptyodactylus_guttatus,cathemeral,C2,68.9,4.9,,Werner and Seifan
Ptyodactylus_hasselquistii,nocturnal,ORIG,73.4,4.8,,Werner and Seifan
Ptyodactylus_oudrii,cathemeral,C1,49.5,3.6,,Werner and Seifan
Rhacodactylus_leachianus,nocturnal,ORIG,208.5,7.8,,Werner and Seifan
Rhoptropus_barnardi,diurnal,D8,41.6,2.3,,Werner and Seifan
Saltuarius_wyberba,nocturnal,ORIG,105.57,5.41,1,this study
Sphaerodactylus_argus,diurnal,D4,29.22333,1.345,6,this study
Sphaerodactylus_elegantulus,nocturnal,N1,26.618,1.21,5,this study
Sphaerodactylus_macrolepis,diurnal,D4,26.37,1.318,5,this study
Sphaerodactylus_notatus,diurnal,D4,26.183,1.22,6,this study
Stenodactylus_doriae,nocturnal,ORIG,54,4.7,,Werner and Seifan
Stenodactylus_petrii,nocturnal,ORIG,52.3,4.3,,Werner and Seifan
Stenodactylus_sthenodactylus,nocturnal,ORIG,44.4,3.5,,Werner and Seifan
Strophurus_elderi,nocturnal,ORIG,40.7,2.4,,Werner and Seifan
Strophurus_strophurus,nocturnal,ORIG,73.33,4.173333,1,this study
Tarentola_annularis,nocturnal,ORIG,66.34,4.09,1,this study
Tenuidactylus_caspius,nocturnal,ORIG,58.96,5.09,1,this study
Teratoscincus_scincus,nocturnal,ORIG,90.1,5.8,,Werner and Seifan
Thecadactylus_rapicauda,nocturnal,ORIG,93.2975,5.9475,2,this study
Tropiocolotes_tripolitanus,nocturnal,ORIG,32.57,2.35,1,this study
Underwoodisaurus_milii,nocturnal,ORIG,77.81667,5.45,1,this study
